Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Market Cap
532729,Uttam Sugar Mills Ltd,UTTAMSUGAR,UTTAM SUGAR MILLS LTD.,Active,B,10,INE786F01031,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,12804889060
522295,Control Print (India) Ltd.,CONTROLPR,CONTROL PRINT LTD.-$,Active,B,10,INE663B01015,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,12834560000
538635,SNOWMAN LOGISTICS LIMITED,SNOWMAN,Snowman Logistics Ltd,Active,B,10,INE734N01019,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,12723743839
532686,Kernex Microsystems (India) Ltd.,KERNEX,KERNEX MICROSYSTEMS (INDIA) LTD.,Active,B,10,INE202H01019,Transport Related Services,Equity,Services,Services,Transport Services,Transport Related Services,12928139609
526725,Sandesh Ltd.,SANDESH,SANDESH LTD.,Active,B,10,INE583B01015,Print Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media,12897540000
539018,Beekay Steel Industries Ltd.,BEEKAY,Beekay Steel Industries Ltd,Active,B,10,INE213D01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,12740130000
502175,Saurashtra Cement Limited,SAURASHCEM,SAURASHTRA CEMENT LTD.,Active,B,10,INE626A01014,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,12622950921
543953,Khazanchi Jewellers Limited,KHAZANCHI,Khazanchi Jewellers Ltd,Active,M,10,INE0OWC01011,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",12697633785
500268,Manali Petrochemicals Ltd.,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B,5,INE201A01024,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,12555934300
544117,Signpost India Limited,SIGNPOST,Signpost India Ltd,Active,B,2,INE0KGZ01021,Advertising & Media Agencies,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies,12405921740
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,B,2,INE102A01024,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,12479539048
508954,Finkurve Financial Services Limited,FINKURVE,Finkurve Financial Services Ltd,Active,X,1,INE734I01027,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),12342030000
